host,ip,port,country,region
171.112.164.63:4022,171.112.164.63,4022,CN,Hubei
36.44.77.119:5555,36.44.77.119,5555,CN,Shaanxi
219.142.73.178:4000,219.142.73.178,4000,CN,Beijing
60.176.50.209:4022,60.176.50.209,4022,CN,Zhejiang
114.232.243.67:8848,114.232.243.67,8848,CN,Jiangsu
www.1eb.top:8888,115.197.243.207,8888,CN,Zhejiang
222.213.148.234:4022,222.213.148.234,4022,CN,Sichuan
124.163.112.186:6001,124.163.112.186,6001,CN,Shanxi
121.29.215.187:2083,121.29.215.187,2083,CN,Hebei
124.163.112.176:6001,124.163.112.176,6001,CN,Shanxi
60.2.190.206:4000,60.2.190.206,4000,CN,Hebei
183.162.96.63:4000,183.162.96.63,4000,CN,Anhui
nas.nasql10hot29.com.cn:6688,123.118.171.46,6688,CN,Beijing
223.10.214.110:6001,223.10.214.110,6001,CN,Shanxi
183.191.136.80:8005,183.191.136.80,8005,CN,Shanxi
182.140.110.94:5050,182.140.110.94,5050,CN,Sichuan
27.10.32.58:4022,27.10.32.58,4022,CN,Chongqing
183.184.43.246:8000,183.184.43.246,8000,CN,Shanxi
171.8.35.238:123,171.8.35.238,123,CN,Henan
27.8.50.163:4022,27.8.50.163,4022,CN,Chongqing
171.38.22.216:4000,171.38.22.216,4000,CN,"Guangxi Zhuangzu"
123.160.205.21:2000,123.160.205.21,2000,CN,Henan
171.125.90.184:8000,171.125.90.184,8000,CN,Shanxi
222.95.198.203:4022,222.95.198.203,4022,CN,Jiangsu
114.253.244.11:4022,114.253.244.11,4022,CN,Beijing
171.116.210.89:8004,171.116.210.89,8004,CN,Shanxi
122.234.56.184:8125,122.234.56.184,8125,CN,Zhejiang
61.134.254.119:5555,61.134.254.119,5555,CN,Shanxi
123.160.233.227:2000,123.160.233.227,2000,CN,Henan
1.31.32.124:4000,1.31.32.124,4000,CN,"Nei Mongol"
39.84.70.233:4000,39.84.70.233,4000,CN,Shandong
106.57.0.182:55555,106.57.0.182,55555,CN,Yunnan
175.0.69.213:9999,175.0.69.213,9999,CN,Hunan
14.155.243.246:4022,14.155.243.246,4022,CN,Guangdong
183.153.69.177:4022,183.153.69.177,4022,CN,Zhejiang
124.77.127.129:4022,124.77.127.129,4022,CN,Shanghai
121.226.92.82:4022,121.226.92.82,4022,CN,Jiangsu
14.153.165.69:5555,14.153.165.69,5555,CN,Guangdong
175.152.157.4:8888,175.152.157.4,8888,CN,Sichuan
112.254.3.162:55555,112.254.3.162,55555,CN,Shandong
121.234.102.223:8128,121.234.102.223,8128,CN,Jiangsu
121.23.133.201:4022,121.23.133.201,4022,CN,Hebei
49.69.74.67:8128,49.69.74.67,8128,CN,Jiangsu
114.250.21.212:55555,114.250.21.212,55555,CN,Beijing
60.168.237.222:6688,60.168.237.222,6688,CN,Anhui
49.69.76.124:8128,49.69.76.124,8128,CN,Jiangsu
106.4.8.245:6002,106.4.8.245,6002,CN,Jiangxi
14.209.201.244:8128,14.209.201.244,8128,CN,Guangdong
220.190.6.182:10000,220.190.6.182,10000,CN,Zhejiang
60.22.50.250:6688,60.22.50.250,6688,CN,Liaoning
27.223.140.6:4001,27.223.140.6,4001,CN,Shandong
61.218.250.142:11001,61.218.250.142,11001,CN,TW
113.69.129.71:33890,113.69.129.71,33890,CN,Guangdong
118.190.201.56:6001,118.190.201.56,6001,CN,Shandong
183.33.56.150:8686,183.33.56.150,8686,CN,Guangdong
113.89.246.98:4200,113.89.246.98,4200,CN,Guangdong
14.121.144.169:10000,14.121.144.169,10000,CN,Guangdong
222.131.221.244:8087,222.131.221.244,8087,CN,Beijing
182.136.87.206:8099,182.136.87.206,8099,CN,Sichuan
61.231.147.45:3128,61.231.147.45,3128,CN,TW
49.232.220.177:6001,49.232.220.177,6001,CN,Beijing
58.242.159.244:10001,58.242.159.244,10001,CN,Anhui
220.201.145.96:6688,220.201.145.96,6688,CN,Beijing
39.87.232.178:4000,39.87.232.178,4000,CN,Shandong
223.247.12.38:2000,223.247.12.38,2000,CN,Anhui
223.247.12.38:2000,223.247.12.38,2000,CN,Anhui
219.139.231.29:4022,219.139.231.29,4022,CN,Hubei
116.147.106.167:8118,116.147.106.167,8118,CN,Beijing
221.202.235.159:9006,221.202.235.159,9006,CN,Liaoning
219.155.63.226:8866,219.155.63.226,8866,CN,Henan
123.118.171.46:6688,123.118.171.46,6688,CN,Beijing
171.213.153.8:8899,171.213.153.8,8899,CN,Sichuan
223.10.214.110:6000,223.10.214.110,6000,CN,Shanxi
202.105.14.142:55555,202.105.14.142,55555,CN,Guangdong
39.87.233.138:4000,39.87.233.138,4000,CN,Shandong
218.18.7.32:55555,218.18.7.32,55555,CN,Guangdong
8.148.84.152:55555,8.148.84.152,55555,CN,Zhejiang
183.7.150.194:8888,183.7.150.194,8888,CN,Guangdong
183.30.202.181:8000,183.30.202.181,8000,CN,Guangdong
171.213.216.59:3333,171.213.216.59,3333,CN,Sichuan
183.129.85.132:9999,183.129.85.132,9999,CN,Zhejiang
183.141.242.128:9999,183.141.242.128,9999,CN,Zhejiang
183.142.105.56:8888,183.142.105.56,8888,CN,Zhejiang
123.114.203.116:55555,123.114.203.116,55555,CN,Beijing
183.185.105.203:8082,183.185.105.203,8082,CN,Shanxi
183.188.127.151:8888,183.188.127.151,8888,CN,Shanxi
27.8.192.236:4022,27.8.192.236,4022,CN,Chongqing
125.118.116.6:4000,125.118.116.6,4000,CN,Zhejiang
221.201.194.246:8099,221.201.194.246,8099,CN,Liaoning
221.202.235.159:9008,221.202.235.159,9008,CN,Liaoning
221.202.235.159:9009,221.202.235.159,9009,CN,Liaoning
223.76.189.164:4022,223.76.189.164,4022,CN,Hubei
183.7.144.202:8886,183.7.144.202,8886,CN,Guangdong
171.213.171.183:4200,171.213.171.183,4200,CN,Sichuan
171.113.231.129:12345,171.113.231.129,12345,CN,Hubei
182.143.101.222:40000,182.143.101.222,40000,CN,Sichuan
182.143.101.218:40000,182.143.101.218,40000,CN,Sichuan
125.108.113.176:7778,125.108.113.176,7778,CN,Zhejiang
27.21.24.196:4022,27.21.24.196,4022,CN,Hubei
183.191.136.80:8004,183.191.136.80,8004,CN,Shanxi
58.253.227.150:4022,58.253.227.150,4022,CN,Guangdong
119.41.32.218:10000,119.41.32.218,10000,CN,Hainan
61.169.183.66:4022,61.169.183.66,4022,CN,Shanghai
112.64.15.167:4022,112.64.15.167,4022,CN,Shanghai
1.62.83.171:8886,1.62.83.171,8886,CN,Heilongjiang
171.15.150.163:4000,171.15.150.163,4000,CN,Henan
39.84.69.108:4000,39.84.69.108,4000,CN,Shandong
171.113.251.126:4022,171.113.251.126,4022,CN,Hubei
222.223.177.226:16000,222.223.177.226,16000,CN,Hebei
112.233.88.147:4000,112.233.88.147,4000,CN,Shandong
182.127.7.45:40000,182.127.7.45,40000,CN,Henan
106.112.242.169:3000,106.112.242.169,3000,CN,Hebei
61.231.145.100:3128,61.231.145.100,3128,CN,TW
116.233.62.14:4022,116.233.62.14,4022,CN,Shanghai
110.167.31.112:4022,110.167.31.112,4022,CN,Qinghai
221.13.235.60:8899,221.13.235.60,8899,CN,Henan
180.106.161.254:4000,180.106.161.254,4000,CN,Jiangsu
220.134.52.221:3128,220.134.52.221,3128,CN,TW
119.49.2.226:3000,119.49.2.226,3000,CN,Jilin
113.100.14.243:40000,113.100.14.243,40000,CN,Guangdong
221.227.179.162:4022,221.227.179.162,4022,CN,Jiangsu
61.187.148.168:4022,61.187.148.168,4022,CN,Hunan
sdwhzzr.cn:4022,60.212.157.201,4022,CN,Shandong
124.163.112.186:6000,124.163.112.186,6000,CN,Shanxi
117.64.102.15:4022,117.64.102.15,4022,CN,Anhui
naslmd2.myqnapcloud.com:4022,123.112.208.143,4022,CN,Beijing
171.95.147.217:4000,171.95.147.217,4000,CN,Sichuan
116.113.207.138:8686,116.113.207.138,8686,CN,"Nei Mongol"
59.173.53.167:4022,59.173.53.167,4022,CN,Hubei
221.227.6.43:4000,221.227.6.43,4000,CN,Jiangsu
124.66.98.85:4022,124.66.98.85,4022,CN,Hainan
221.13.234.43:8899,221.13.234.43,8899,CN,Henan
221.227.6.46:4000,221.227.6.46,4000,CN,Jiangsu
114.254.76.186:4022,114.254.76.186,4022,CN,Beijing
14.110.101.93:4022,14.110.101.93,4022,CN,Chongqing
61.231.157.77:3128,61.231.157.77,3128,CN,TW
183.188.159.32:6000,183.188.159.32,6000,CN,Shanxi
111.167.165.193:4022,111.167.165.193,4022,CN,Tianjin
60.212.157.201:4022,60.212.157.201,4022,CN,Shandong
123.112.208.143:4022,123.112.208.143,4022,CN,Beijing
115.150.68.240:4022,115.150.68.240,4022,CN,Jiangxi
218.1.151.153:4022,218.1.151.153,4022,CN,Shanghai
125.108.126.69:7778,125.108.126.69,7778,CN,Zhejiang
122.189.16.165:8848,122.189.16.165,8848,CN,Hubei
171.213.170.130:8123,171.213.170.130,8123,CN,Sichuan
171.213.159.64:8899,171.213.159.64,8899,CN,Sichuan
27.10.213.135:8005,27.10.213.135,8005,CN,Chongqing
60.216.241.66:4022,60.216.241.66,4022,CN,Shandong
61.231.152.234:3128,61.231.152.234,3128,CN,TW
222.94.139.195:8686,222.94.139.195,8686,CN,Jiangsu
115.171.85.102:4022,115.171.85.102,4022,CN,Beijing
119.176.137.3:4000,119.176.137.3,4000,CN,Shandong
119.176.137.4:4000,119.176.137.4,4000,CN,Shandong
27.11.194.28:8007,27.11.194.28,8007,CN,Chongqing
106.118.22.122:3000,106.118.22.122,3000,CN,Hebei
113.65.176.25:10000,113.65.176.25,10000,CN,Guangdong
171.38.23.241:4000,171.38.23.241,4000,CN,"Guangxi Zhuangzu"
119.41.137.168:4022,119.41.137.168,4022,CN,Hainan
125.76.146.216:2222,125.76.146.216,2222,CN,Shaanxi
144.255.44.201:4022,144.255.44.201,4022,CN,Shandong
59.127.177.246:4040,59.127.177.246,4040,CN,TW
106.118.22.232:3000,106.118.22.232,3000,CN,Hebei
182.134.225.124:2222,182.134.225.124,2222,CN,Sichuan
117.57.38.216:4022,117.57.38.216,4022,CN,Anhui
221.13.233.207:8899,221.13.233.207,8899,CN,Henan
123.10.77.43:40000,123.10.77.43,40000,CN,Henan
221.232.243.134:40000,221.232.243.134,40000,CN,Hubei
219.142.73.179:4000,219.142.73.179,4000,CN,Beijing
36.34.209.160:4000,36.34.209.160,4000,CN,Anhui
222.209.123.93:2222,222.209.123.93,2222,CN,Sichuan
183.185.139.182:5555,183.185.139.182,5555,CN,Shanxi
49.71.158.20:4022,49.71.158.20,4022,CN,Jiangsu
39.64.117.82:4022,39.64.117.82,4022,CN,Shandong
14.153.161.140:4022,14.153.161.140,4022,CN,Guangdong
171.15.151.140:4000,171.15.151.140,4000,CN,Henan
58.242.159.249:10001,58.242.159.249,10001,CN,Anhui
123.116.143.178:8000,123.116.143.178,8000,CN,Beijing
1.62.168.97:8886,1.62.168.97,8886,CN,Heilongjiang
115.224.68.59:8000,115.224.68.59,8000,CN,Zhejiang
219.157.249.192:4000,219.157.249.192,4000,CN,Henan
175.172.170.43:8089,175.172.170.43,8089,CN,Liaoning
125.104.135.22:4022,125.104.135.22,4022,CN,Zhejiang
123.120.0.171:4022,123.120.0.171,4022,CN,Beijing
116.233.67.80:8899,116.233.67.80,8899,CN,Shanghai
106.116.126.176:4022,106.116.126.176,4022,CN,Hebei
182.125.130.51:6666,182.125.130.51,6666,CN,Henan
42.237.27.65:9999,42.237.27.65,9999,CN,Henan
219.144.150.34:10000,219.144.150.34,10000,CN,Shaanxi
219.144.150.166:10000,219.144.150.166,10000,CN,Shaanxi
61.173.159.98:4022,61.173.159.98,4022,CN,Shanghai
218.91.84.174:8888,218.91.84.174,8888,CN,Jiangsu
39.78.50.73:9527,39.78.50.73,9527,CN,Shandong
118.79.12.241:6000,118.79.12.241,6000,CN,Shanxi
202.168.168.50:10000,202.168.168.50,10000,CN,Shanghai
60.220.163.39:4022,60.220.163.39,4022,CN,Shanxi
14.112.103.41:8000,14.112.103.41,8000,CN,Guangdong
114.245.186.253:4022,114.245.186.253,4022,CN,Beijing
1.83.126.88:4022,1.83.126.88,4022,CN,Shaanxi
180.112.91.110:9527,180.112.91.110,9527,CN,Jiangsu
106.86.176.6:4022,106.86.176.6,4022,CN,Chongqing
125.35.121.96:4000,125.35.121.96,4000,CN,Beijing
183.162.112.203:20000,183.162.112.203,20000,CN,Anhui
183.164.63.159:5000,183.164.63.159,5000,CN,Anhui
124.227.113.7:10000,124.227.113.7,10000,CN,"Guangxi Zhuangzu"
183.154.246.29:4000,183.154.246.29,4000,CN,Zhejiang
14.109.231.233:8000,14.109.231.233,8000,CN,Chongqing
113.116.245.152:9999,113.116.245.152,9999,CN,Guangdong
171.213.221.117:8096,171.213.221.117,8096,CN,Sichuan
183.184.40.235:8000,183.184.40.235,8000,CN,Shanxi
27.8.237.74:8007,27.8.237.74,8007,CN,Chongqing
220.176.218.84:9000,220.176.218.84,9000,CN,Jiangxi
122.231.93.255:9999,122.231.93.255,9999,CN,Zhejiang
39.76.120.134:4567,39.76.120.134,4567,CN,Shandong
218.29.135.5:4000,218.29.135.5,4000,CN,Henan
119.100.144.130:4022,119.100.144.130,4022,CN,Hubei
123.5.171.183:7001,123.5.171.183,7001,CN,Henan
60.176.82.45:8000,60.176.82.45,8000,CN,Zhejiang
183.162.112.161:20000,183.162.112.161,20000,CN,Anhui
119.84.195.75:7777,119.84.195.75,7777,CN,Chongqing
124.128.178.236:4022,124.128.178.236,4022,CN,Shandong
221.219.74.148:8888,221.219.74.148,8888,CN,Beijing
221.232.103.229:10001,221.232.103.229,10001,CN,Hubei
221.233.110.248:8888,221.233.110.248,8888,CN,Hubei
113.200.52.218:8085,113.200.52.218,8085,CN,Shaanxi
111.196.131.68:20000,111.196.131.68,20000,CN,Beijing
222.90.31.92:8888,222.90.31.92,8888,CN,Shaanxi
183.148.85.242:4022,183.148.85.242,4022,CN,Zhejiang
112.195.89.171:5000,112.195.89.171,5000,CN,Sichuan
116.5.238.95:8000,116.5.238.95,8000,CN,Guangdong
222.141.128.216:8888,222.141.128.216,8888,CN,Henan
113.200.52.210:8085,113.200.52.210,8085,CN,Shaanxi
222.190.55.24:8888,222.190.55.24,8888,CN,Jiangsu
60.182.104.25:4022,60.182.104.25,4022,CN,Zhejiang
221.234.161.184:8899,221.234.161.184,8899,CN,Hubei
223.10.84.80:8888,223.10.84.80,8888,CN,Shanxi
115.205.86.41:9999,115.205.86.41,9999,CN,Zhejiang
113.200.52.215:8085,113.200.52.215,8085,CN,Shaanxi
223.166.240.35:4022,223.166.240.35,4022,CN,Shanghai
1.83.52.175:7000,1.83.52.175,7000,CN,Shaanxi
119.4.35.119:4022,119.4.35.119,4022,CN,Sichuan
223.215.172.68:8000,223.215.172.68,8000,CN,Anhui
115.197.176.250:4022,115.197.176.250,4022,CN,Zhejiang
58.35.123.192:3333,58.35.123.192,3333,CN,Shanghai
27.8.50.78:4022,27.8.50.78,4022,CN,Chongqing
1.83.126.127:4022,1.83.126.127,4022,CN,Shaanxi
49.64.40.241:4000,49.64.40.241,4000,CN,Jiangsu
183.30.201.76:10002,183.30.201.76,10002,CN,Guangdong
221.219.178.216:4022,221.219.178.216,4022,CN,Beijing
60.186.6.246:4022,60.186.6.246,4022,CN,Zhejiang
221.1.58.182:7000,221.1.58.182,7000,CN,Shandong
183.142.105.56:8889,183.142.105.56,8889,CN,Zhejiang
106.113.176.81:9999,106.113.176.81,9999,CN,Hebei
120.0.29.224:4000,120.0.29.224,4000,CN,Hebei
183.0.203.236:9999,183.0.203.236,9999,CN,Guangdong
112.109.206.183:9999,112.109.206.183,9999,CN,Fujian
220.190.14.81:10000,220.190.14.81,10000,CN,Zhejiang
221.220.130.93:9999,221.220.130.93,9999,CN,Beijing
219.140.6.21:7777,219.140.6.21,7777,CN,Hubei
124.163.37.219:9999,124.163.37.219,9999,CN,Shanxi
183.220.107.138:4022,183.220.107.138,4022,CN,Sichuan
58.17.134.3:8005,58.17.134.3,8005,CN,Chongqing
218.63.137.176:5060,218.63.137.176,5060,CN,Yunnan
171.213.151.47:4022,171.213.151.47,4022,CN,Sichuan
111.113.151.232:9999,111.113.151.232,9999,CN,"Ningxia Huizu"
180.113.149.76:4000,180.113.149.76,4000,CN,Jiangsu
39.65.42.57:4000,39.65.42.57,4000,CN,Shandong
124.67.68.139:4022,124.67.68.139,4022,CN,"Nei Mongol"
120.224.5.170:10000,120.224.5.170,10000,CN,Beijing
180.109.223.139:7000,180.109.223.139,7000,CN,Jiangsu
171.217.35.21:8000,171.217.35.21,8000,CN,Sichuan
119.100.147.82:8848,119.100.147.82,8848,CN,Hubei
113.235.13.50:9999,113.235.13.50,9999,CN,Liaoning
60.26.61.26:8000,60.26.61.26,8000,CN,Tianjin
125.66.56.31:4000,125.66.56.31,4000,CN,Sichuan
61.169.183.69:4022,61.169.183.69,4022,CN,Shanghai
61.169.183.70:4022,61.169.183.70,4022,CN,Shanghai
124.163.37.224:9999,124.163.37.224,9999,CN,Shanxi
36.44.76.81:5555,36.44.76.81,5555,CN,Shaanxi
42.227.123.21:7000,42.227.123.21,7000,CN,Henan
123.96.208.142:9999,123.96.208.142,9999,CN,Zhejiang
60.168.76.6:20000,60.168.76.6,20000,CN,Anhui
111.193.237.27:9999,111.193.237.27,9999,CN,Beijing
27.197.52.54:4567,27.197.52.54,4567,CN,Shandong
121.29.98.124:9999,121.29.98.124,9999,CN,Hebei
36.44.76.175:5555,36.44.76.175,5555,CN,Shaanxi
110.252.211.185:4022,110.252.211.185,4022,CN,Hebei
125.76.174.151:10001,125.76.174.151,10001,CN,Shaanxi
60.0.176.171:9999,60.0.176.171,9999,CN,Hebei
116.248.100.223:7777,116.248.100.223,7777,CN,Yunnan
112.66.227.159:9999,112.66.227.159,9999,CN,Hainan
171.213.149.15:9009,171.213.149.15,9009,CN,Sichuan
112.82.215.93:7000,112.82.215.93,7000,CN,Jiangsu
183.23.61.245:4022,183.23.61.245,4022,CN,Guangdong
124.77.179.132:8686,124.77.179.132,8686,CN,Shanghai
39.88.173.225:4000,39.88.173.225,4000,CN,Shandong
171.125.90.184:7000,171.125.90.184,7000,CN,Shanxi
221.231.23.212:4000,221.231.23.212,4000,CN,Jiangsu
119.112.109.116:4022,119.112.109.116,4022,CN,Liaoning
116.95.218.68:9999,116.95.218.68,9999,CN,"Nei Mongol"
14.109.224.68:8000,14.109.224.68,8000,CN,Chongqing
27.10.211.235:8004,27.10.211.235,8004,CN,Chongqing
14.118.74.55:10001,14.118.74.55,10001,CN,Guangdong
123.144.113.190:4022,123.144.113.190,4022,CN,Chongqing
36.46.98.88:8010,36.46.98.88,8010,CN,Shaanxi
123.97.150.171:4022,123.97.150.171,4022,CN,Zhejiang
60.3.123.183:7000,60.3.123.183,7000,CN,Hebei
60.3.123.183:7000,60.3.123.183,7000,CN,Hebei
58.32.18.145:4022,58.32.18.145,4022,CN,Shanghai
42.228.123.155:5000,42.228.123.155,5000,CN,Henan
116.116.119.215:9999,116.116.119.215,9999,CN,"Nei Mongol"
116.116.119.215:9999,116.116.119.215,9999,CN,"Nei Mongol"
125.119.40.81:9999,125.119.40.81,9999,CN,Zhejiang
183.158.217.228:4022,183.158.217.228,4022,CN,Zhejiang
183.17.237.11:4022,183.17.237.11,4022,CN,Guangdong
218.86.140.27:9527,218.86.140.27,9527,CN,Guizhou
42.228.120.144:5000,42.228.120.144,5000,CN,Henan
27.10.95.231:4022,27.10.95.231,4022,CN,Chongqing
49.65.160.11:7000,49.65.160.11,7000,CN,Jiangsu
106.4.9.100:6002,106.4.9.100,6002,CN,Jiangxi
60.168.76.2:20000,60.168.76.2,20000,CN,Anhui
49.64.40.149:4000,49.64.40.149,4000,CN,Jiangsu
42.228.120.146:5000,42.228.120.146,5000,CN,Henan
220.172.22.115:4022,220.172.22.115,4022,CN,Guizhou
171.94.102.145:5000,171.94.102.145,5000,CN,Sichuan
39.71.170.201:6998,39.71.170.201,6998,CN,Shandong
113.65.124.131:9530,113.65.124.131,9530,CN,Guangdong
114.252.229.38:8000,114.252.229.38,8000,CN,Beijing
117.24.217.8:8000,117.24.217.8,8000,CN,Fujian
123.7.227.133:9999,123.7.227.133,9999,CN,Henan
124.77.220.45:4022,124.77.220.45,4022,CN,Shanghai
183.133.122.153:9999,183.133.122.153,9999,CN,Zhejiang
219.132.164.217:8000,219.132.164.217,8000,CN,Guangdong
211.158.48.226:8010,211.158.48.226,8010,CN,Chongqing
218.15.103.203:8000,218.15.103.203,8000,CN,Guangdong
116.248.103.186:7777,116.248.103.186,7777,CN,Yunnan
222.79.176.204:4022,222.79.176.204,4022,CN,Fujian
171.213.141.78:9999,171.213.141.78,9999,CN,Sichuan
116.116.118.209:9999,116.116.118.209,9999,CN,"Nei Mongol"
14.121.144.233:10000,14.121.144.233,10000,CN,Guangdong
183.188.14.29:9999,183.188.14.29,9999,CN,Shanxi
119.185.74.56:9999,119.185.74.56,9999,CN,Shandong
115.58.149.110:7000,115.58.149.110,7000,CN,Henan
117.81.107.110:4000,117.81.107.110,4000,CN,Jiangsu
183.188.14.27:9999,183.188.14.27,9999,CN,Shanxi
113.65.178.214:10000,113.65.178.214,10000,CN,Guangdong
58.48.135.6:9999,58.48.135.6,9999,CN,Hubei
183.30.202.176:8000,183.30.202.176,8000,CN,Guangdong
115.239.56.140:9999,115.239.56.140,9999,CN,Zhejiang
183.30.202.203:8000,183.30.202.203,8000,CN,Guangdong
121.230.144.64:8000,121.230.144.64,8000,CN,Jiangsu
121.233.129.63:9876,121.233.129.63,9876,CN,Jiangsu
183.191.118.65:8005,183.191.118.65,8005,CN,Shanxi
121.235.153.38:4022,121.235.153.38,4022,CN,Jiangsu
219.128.39.159:7788,219.128.39.159,7788,CN,Guangdong
222.129.39.174:4022,222.129.39.174,4022,CN,Beijing
124.65.2.127:20000,124.65.2.127,20000,CN,Beijing
223.76.232.210:4022,223.76.232.210,4022,CN,Guangdong
43.138.5.183:10001,43.138.5.183,10001,CN,Beijing
42.231.184.2:9999,42.231.184.2,9999,CN,Henan
114.253.58.23:4022,114.253.58.23,4022,CN,Beijing
183.30.202.204:8000,183.30.202.204,8000,CN,Guangdong
106.111.132.135:7000,106.111.132.135,7000,CN,Jiangsu
123.116.139.10:8000,123.116.139.10,8000,CN,Beijing
14.145.131.110:8000,14.145.131.110,8000,CN,Guangdong
61.242.211.243:10000,61.242.211.243,10000,CN,Henan
221.223.90.145:4022,221.223.90.145,4022,CN,Beijing
122.231.96.121:9999,122.231.96.121,9999,CN,Zhejiang
180.165.22.10:9999,180.165.22.10,9999,CN,Shanghai
110.7.131.114:4022,110.7.131.114,4022,CN,"Nei Mongol"
220.172.22.30:4022,220.172.22.30,4022,CN,Guizhou
125.109.33.198:10000,125.109.33.198,10000,CN,Zhejiang
14.145.163.25:8000,14.145.163.25,8000,CN,Guangdong
1.26.26.249:9999,1.26.26.249,9999,CN,"Nei Mongol"
223.166.30.250:4000,223.166.30.250,4000,CN,Shanghai
111.167.166.115:4022,111.167.166.115,4022,CN,Tianjin
202.99.136.97:9999,202.99.136.97,9999,CN,Hebei
202.99.136.97:9999,202.99.136.97,9999,CN,Hebei
115.220.145.102:9999,115.220.145.102,9999,CN,Zhejiang
61.52.147.145:9999,61.52.147.145,9999,CN,Henan
115.239.24.139:9999,115.239.24.139,9999,CN,Zhejiang
42.237.25.118:9999,42.237.25.118,9999,CN,Henan
183.48.243.18:5050,183.48.243.18,5050,CN,Guangdong
116.248.101.164:7777,116.248.101.164,7777,CN,Yunnan
183.0.203.118:9999,183.0.203.118,9999,CN,Guangdong
182.124.174.2:10000,182.124.174.2,10000,CN,Henan
36.44.76.254:5554,36.44.76.254,5554,CN,Shaanxi
111.53.182.227:4022,111.53.182.227,4022,CN,Beijing
36.46.98.50:8010,36.46.98.50,8010,CN,Shaanxi
36.49.53.99:4022,36.49.53.99,4022,CN,Jilin
116.8.228.2:4022,116.8.228.2,4022,CN,"Guangxi Zhuangzu"
220.172.22.161:4022,220.172.22.161,4022,CN,Guizhou
27.9.90.129:8010,27.9.90.129,8010,CN,Chongqing
119.185.49.60:8500,119.185.49.60,8500,CN,Shandong
175.152.138.197:6066,175.152.138.197,6066,CN,Sichuan
112.64.15.8:4022,112.64.15.8,4022,CN,Shanghai
223.167.121.78:12000,223.167.121.78,12000,CN,Shanghai
220.188.222.194:9999,220.188.222.194,9999,CN,Zhejiang
60.168.244.246:8158,60.168.244.246,8158,CN,Anhui
211.143.142.2:4000,211.143.142.2,4000,CN,Hebei
221.3.119.100:7005,221.3.119.100,7005,CN,Shandong
27.10.213.135:8001,27.10.213.135,8001,CN,Chongqing
39.85.120.87:4022,39.85.120.87,4022,CN,Shandong
114.233.127.18:4022,114.233.127.18,4022,CN,Jiangsu
60.223.72.219:8004,60.223.72.219,8004,CN,Shanxi
60.223.72.230:8004,60.223.72.230,8004,CN,Shanxi
171.213.161.128:8123,171.213.161.128,8123,CN,Sichuan
49.232.181.26:6000,49.232.181.26,6000,CN,Beijing
106.116.126.196:4022,106.116.126.196,4022,CN,Hebei
171.213.145.133:9009,171.213.145.133,9009,CN,Sichuan
111.161.219.62:8989,111.161.219.62,8989,CN,Tianjin
121.239.144.108:4022,121.239.144.108,4022,CN,Jiangsu
171.213.149.4:6868,171.213.149.4,6868,CN,Sichuan
42.57.200.250:5555,42.57.200.250,5555,CN,Liaoning
183.191.136.80:8002,183.191.136.80,8002,CN,Shanxi
171.212.171.236:8088,171.212.171.236,8088,CN,Sichuan
60.223.72.72:8002,60.223.72.72,8002,CN,Shanxi
125.38.165.178:5002,125.38.165.178,5002,CN,Tianjin
27.11.194.229:8008,27.11.194.229,8008,CN,Chongqing
116.237.68.208:4022,116.237.68.208,4022,CN,Shanghai
27.10.213.135:8002,27.10.213.135,8002,CN,Chongqing
180.126.143.155:8088,180.126.143.155,8088,CN,Jiangsu
123.189.130.168:4022,123.189.130.168,4022,CN,Liaoning
223.166.84.253:8181,223.166.84.253,8181,CN,Shanghai
59.34.28.175:30001,59.34.28.175,30001,CN,Guangdong
115.211.241.200:8001,115.211.241.200,8001,CN,Zhejiang
221.205.186.192:8002,221.205.186.192,8002,CN,Shanxi
60.223.72.230:8002,60.223.72.230,8002,CN,Shanxi
221.233.110.248:88,221.233.110.248,88,CN,Hubei
27.10.212.26:8002,27.10.212.26,8002,CN,Chongqing
125.107.202.24:8088,125.107.202.24,8088,CN,Zhejiang
221.235.239.28:8001,221.235.239.28,8001,CN,Hubei
49.73.68.231:4000,49.73.68.231,4000,CN,Jiangsu
171.213.199.44:8818,171.213.199.44,8818,CN,Sichuan
221.205.186.192:8001,221.205.186.192,8001,CN,Shanxi
171.124.1.122:8083,171.124.1.122,8083,CN,Shanxi
211.158.49.25:8001,211.158.49.25,8001,CN,Chongqing
60.223.72.219:8002,60.223.72.219,8002,CN,Shanxi
111.179.200.108:8090,111.179.200.108,8090,CN,Hubei
223.167.245.61:8001,223.167.245.61,8001,CN,Shanghai
59.44.107.86:8001,59.44.107.86,8001,CN,Liaoning
61.188.84.238:8001,61.188.84.238,8001,CN,Sichuan
123.5.171.14:8090,123.5.171.14,8090,CN,Henan
124.167.118.22:8082,124.167.118.22,8082,CN,Shanxi
171.124.1.122:8082,171.124.1.122,8082,CN,Shanxi
125.41.171.162:4022,125.41.171.162,4022,CN,Henan
115.211.50.139:4022,115.211.50.139,4022,CN,Zhejiang
120.6.120.86:8088,120.6.120.86,8088,CN,Hebei
183.157.126.119:8090,183.157.126.119,8090,CN,Zhejiang
27.10.211.116:8008,27.10.211.116,8008,CN,Chongqing
115.210.225.89:8001,115.210.225.89,8001,CN,Zhejiang
113.16.155.251:4000,113.16.155.251,4000,CN,"Guangxi Zhuangzu"
